;;;;
;VETUSTE;CONFORMITE;CONFORT;
;Neuf ou Bon état;Conforme;Bon;
;Etat moyen;Non-conformité mineure;Moyen;
;Mauvais état;Non-conformité majeure;Mauvais;
;;;;
;;;;
;;;;
;;;;
;;;;
